Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
Accessories,,,,,,,,,,,
Accessories,,,,,,,,,,,
736658543933: Disney Princess Wet Brush,,,,1,$20.00 ,,0.05%,,,,0.00%
736658547375: Pro-Detangler Wet Brush,,,,3,$44.85 ,,0.11%,,,,0.01%
855780000180: BFF Scented Slap Bracelets,,,,15,$46.69 ,,0.11%,,,,0.01%
9351300003941: Glitter princess hairclips in tub,,,,4,$16.87 ,,0.04%,,,,0.00%
9351300019287: Fantasy Mood Rings,,,,3,$13.20 ,,0.03%,,,,0.00%
9351300019904: Pixie Fantasy Small Unicorn Fairy Musical Jewelry Box,,,,2,$25.00 ,,0.06%,,,,0.01%
9351300019911: Caticorn Dreams Small Musical Jewelry Box,,,,1,$30.25 ,,0.07%,,,,0.01%
9351300019959: Romantic Ballet Small Musical Jewelry Box,,,,1,$30.25 ,,0.07%,,,,0.01%
EMKC5-ALI: Alien Plush keychains & bag Clip-ons!,,,,1,$5.50 ,,0.01%,,,,0.00%
FG: Fancy Girl,,,,1,$10.00 ,,0.02%,,,,0.00%
LAN-ADULT3: TEEN/ADULT printed MASK LANYARDS,,,,1,$4.40 ,,0.01%,,,,0.00%
POMEAR3: Pom Pom Cat Ear Headbands,,,,3,$19.80 ,,0.05%,,,,0.00%
Quick: QuickSale,,,,"1,367","$14,494.31 ",,34.34%,,,,3.41%
Quick: QuickSale,,,,-3,($140.00),,,,,,
SEQEARS3: Sequin Reversible Cat Ears Headbands,,,,3,$16.20 ,,0.04%,,,,0.00%
SLAP-HOL4: BFF SLAP BRACELET  - HOLIDAY STYLES,,,,1,$8.80 ,,0.02%,,,,0.00%
,,Accessories Sub-Total,,"1,404","$14,646.12 ",,35.04%,,,,3.48%
Backpack,,,,,,,,,,,
752rb: Stylish beauty mini,,,,6,$179.95 ,,0.43%,,,,0.04%
,,Backpack Sub-Total,,6,$179.95 ,,0.43%,,,,0.04%
Bag,,,,,,,,,,,
724-934: SWIRL TIE DYE POPPER JOURNAL,,,,12,$188.50 ,,0.45%,,,,0.04%
810-1195: HEART SILICONE COIN PURSE,,,,1,$4.25 ,,0.01%,,,,0.00%
810-538: UNICORN PURSE/KEY CHAIN,,,,3,$16.00 ,,0.04%,,,,0.00%
850020859221: Yummy Burger Bag,,,,1,$17.00 ,,0.04%,,,,0.00%
850020859238: Kittie Shaggy Baggie,,,,2,$68.00 ,,0.16%,,,,0.02%
850020859245: Cupcake Shaggie Baggie,,,,3,$83.30 ,,0.15%,,,,0.02%
850020859245: Cupcake Shaggie Baggie,,,,-1,($20.00),,,,,,
850020859252: Shaggie Baggie Donut,,,,1,$34.00 ,,0.08%,,,,0.01%
,,Bag Sub-Total,,22,$391.05 ,,0.94%,,,,0.09%
Charms,,,,,,,,,,,
794187081777: Chocolate Ice Cream Cone,,,,1,$8.00 ,,0.02%,,,,0.00%
794187090175: Mommy's Girl Charm Its Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
794187091783: January Charm its Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
794187091790: February Charm Its Charm,,,,2,$16.00 ,,0.02%,,,,0.00%
794187091790: February Charm Its Charm,,,,-1,($8.00),,,,,,
794187091806: March Charm Its Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
794187091813: April Charm its charm,,,,2,$16.00 ,,0.04%,,,,0.00%
794187091820: May Charm Its CHarm,,,,2,$16.00 ,,0.04%,,,,0.00%
794187091837: June Charm Its Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
794187091844: July Charm It,,,,4,$32.00 ,,0.08%,,,,0.01%
794187091851: August Charm It's Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
794187091868: September Charm Its Charm,,,,2,$16.00 ,,0.02%,,,,0.00%
794187091868: September Charm Its Charm,,,,-1,($8.00),,,,,,
794187091882: November Charm it Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
794187091899: December Charm Its Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
794187093466: Barbie Sparkle Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
794187093497: Barbie Girl Heart Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CIB100: CHARM IT! Chain Bracelet,,,,33,$270.00 ,,0.65%,,,,0.06%
CIB100-G: CHARM IT! Gold Chain Bracelet,,,,10,$90.00 ,,0.22%,,,,0.02%
CIB301: CHARM IT! Pink Chain Bracelet,,,,12,$120.00 ,,0.29%,,,,0.03%
CIB304: CHARM IT! Rainbow Chain Bracelet,,,,14,$136.00 ,,0.33%,,,,0.03%
CIB307: CHARM IT! Purple Chain Bracelet,,,,12,$120.00 ,,0.29%,,,,0.03%
CIB923: CHARM IT! Rainbow Heart Link Bracelet,,,,12,$116.00 ,,0.28%,,,,0.03%
CIBB109: CHARM IT! 4mm  Gold Friends Stretch Bead Bracelet,,,,5,$75.00 ,,0.18%,,,,0.02%
CIBB206: CHARM IT !Gold Hanukkah Stretch Bead Bracelet,,,,1,$10.00 ,,0.02%,,,,0.00%
CIBK1: CHARM IT! Rainbow Bead Kit,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC1006: Lil' Goldfish Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1029: I Love Art Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1083-A: Gold Flower Giraffe Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1086: Gymnastics Girl Charm,,,,9,$72.00 ,,0.17%,,,,0.02%
CICC1144: Star Microphone Charm,,,,12,$96.00 ,,0.23%,,,,0.02%
CICC1154: Art Set Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC1239: Wishes Bottle Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1261: Moon Locket Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC1274: Pink Narwhal Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1282: Glitter Pizza Charm,,,,7,$56.00 ,,0.13%,,,,0.01%
CICC1285: Glitter Unicorn Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1288: Pink Glitter Cupcake Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1292: Gold Magic Wand Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1293: Gold Heart Shaker Charm,,,,7,$56.00 ,,0.13%,,,,0.01%
CICC1296: BFF Buddies Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1301: Baby Sea Turtle Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1302: Unicone Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1306: Swivel Pig Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1307: Swivel Owl Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1313: Kitty Ears Headphones Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1314: Glitter Cupcake Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1315: Glitter Rainbow Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1317: Gold Mermaid Tiara Charm,,,,8,$64.00 ,,0.15%,,,,0.02%
CICC1318: Gold Unicorn Piñata Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1319: Gold Unicorn Smoothie Charm,,,,12,$96.00 ,,0.23%,,,,0.02%
CICC1320: Gold Butterfly Charm,,,,9,$72.00 ,,0.17%,,,,0.02%
CICC1321: Gold Heart Sunglasses Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1327: Mermaid Mirror Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1329: Gold Swivel Ice Cream Cone Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1333: Gold Unicorn Smiley Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1336: Gold Christmas Tree Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1337: Caticorn Charm,,,,6,$46.00 ,,0.11%,,,,0.01%
CICC1340: Gold Swivel Mermaid Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1354: Gold Swivel Peacock Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1355: Swivel Frog Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1360: Gold Glitter Starfish Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1365: Gold Glitter Best Sister Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1366: Gold Glitter Horse Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
